Collection Unique ID,Suborder,Family,Species name,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,North_America
34291,Anisoptera,Aeshnidae,Aeshna canadensis,350.563,448.402,41.635,41.402,41.931,41.762,10.541,13.377,11.282,14.372,0.56133266,0.278256462,0.01988828,-0.138163675,TRUE
33102,Anisoptera,Aeshnidae,Aeshna canadensis,360.083,463.915,43.095,42.058,43.201,42.757,10.435,13.589,11.134,14.563,0.594316512,0.253465347,0.017833291,-0.116205923,TRUE
33417,Anisoptera,Aeshnidae,Aeshna clepsydra,324.022,420.124,41.635,40.09,41.741,40.534,9.821,12.637,10.351,13.674,0.581643002,0.274673629,0.033295382,-0.139354178,TRUE
21993,Anisoptera,Aeshnidae,Aeshna clepsydra,354.738,456.87,42.905,43.011,43.328,43.519,10.287,13.145,11.049,14.161,0.549096238,0.277237354,0.022868778,-0.100507798,TRUE
48086,Anisoptera,Aeshnidae,Aeshna clepsydra,320.847,425.284,40.365,40.873,40.64,41.72,10.097,12.954,10.689,13.631,0.584375,0.215626586,0.036146594,-0.095920562,TRUE
28758,Anisoptera,Aeshnidae,Aeshna clepsydra,359.555,465.612,42.651,41.571,42.778,42.884,10.541,13.737,11.24,14.753,0.56952004,0.243830207,0.018493983,-0.113372643,TRUE
33792,Anisoptera,Aeshnidae,Aeshna clepsydra,316.149,408.258,39.709,39.18,40.365,39.815,9.991,12.531,10.647,13.483,0.560041951,0.257841574,0.028360517,-0.127677546,TRUE
28005,Anisoptera,Aeshnidae,Aeshna clepsydra,360.757,456.654,41.55,41.466,42.651,42.672,10.626,13.441,11.388,14.224,0.575682382,0.317956349,0.027432234,-0.080334689,TRUE
24346,Anisoptera,Aeshnidae,Aeshna clepsydra,344.42,444.708,42.249,41.444,42.333,42.079,10.224,13.102,10.922,14.055,0.6045,0.27917505,0.020628319,-0.121017242,TRUE
36573,Anisoptera,Aeshnidae,Aeshna constricta,389.89,481.792,43.963,40.407,44.027,41.212,11.303,14.774,12.107,15.558,0.581730769,0.268618387,0.017320575,-0.145575048,TRUE
38898,Anisoptera,Aeshnidae,Aeshna constricta,352.392,469.641,40.471,41.127,40.746,41.423,10.943,14.118,11.642,15.177,0.561558442,0.269800715,-0.007669698,-0.148836124,TRUE
38895,Anisoptera,Aeshnidae,Aeshna constricta,400.374,474.634,44.323,41.677,44.598,42.037,11.536,14.076,12.298,15.282,0.588039867,0.206445116,0.018584363,-0.14961188,TRUE
22040,Anisoptera,Aeshnidae,Aeshna constricta,374.605,495.236,42.651,42.99,43.265,44.196,10.901,14.266,11.875,15.706,0.563600783,0.237547893,0.017513825,-0.128126658,TRUE
22026,Anisoptera,Aeshnidae,Aeshna constricta,391.21,494.874,43.18,41.36,44.302,43.032,11.367,14.351,12.298,15.917,0.605351171,0.240531235,0.032127349,-0.117583347,TRUE
39650,Anisoptera,Aeshnidae,Aeshna eremita,390.933,421.696,46.376,42.968,46.461,45.17,10.626,12.15,11.43,13.695,0.590888383,0.535145267,0.020594302,0.002334606,TRUE
37243,Anisoptera,Aeshnidae,Aeshna eremita,359.374,467.977,43.265,42.101,43.265,42.63,10.774,13.695,11.472,15.325,0.602250489,0.294935452,0.036201826,-0.110285038,TRUE
39651,Anisoptera,Aeshnidae,Aeshna eremita,396.246,512.443,45,44.873,46.419,45.699,10.837,13.801,11.557,15.177,0.633834929,0.329319129,0.033370091,-0.107959427,TRUE
20798,Anisoptera,Aeshnidae,Aeshna eremita,402.091,513.823,46.567,45.762,47.498,46.44,10.478,13.631,11.367,14.838,0.543226382,0.219690064,0.022468082,-0.140261782,TRUE
WRK-WS-02515,Anisoptera,Aeshnidae,Aeshna eremita,416.795,514.537,46.694,44.556,47.159,45.752,11.229,13.981,12.033,15.293,0.546454219,0.273189914,0.016259703,-0.123848721,TRUE
WRK-WS-02521,Anisoptera,Aeshnidae,Aeshna eremita,427.805,549.063,47.583,46.006,47.837,46.958,10.986,14.499,11.853,15.843,0.574778761,0.233716475,0.012515216,-0.133305767,TRUE
WRK-WS-02522,Anisoptera,Aeshnidae,Aeshna eremita,416.948,520.299,47.17,45.974,47.826,47.403,10.922,13.801,11.769,16.129,0.613852622,0.201830766,0.018899165,-0.117565974,TRUE
WRK-WS-02525,Anisoptera,Aeshnidae,Aeshna eremita,390.752,503.71,46.069,44.545,46.493,45.942,10.573,13.885,11.578,16.224,0.567721375,0.24994241,0.01345747,-0.13247667,TRUE
39648,Anisoptera,Aeshnidae,Aeshna interrupta,434.468,571.183,45.932,44.471,47.117,45.403,11.959,15.706,12.827,17.082,0.597484277,0.267599068,0.036809985,-0.15396857,TRUE
38922,Anisoptera,Aeshnidae,Aeshna interrupta,401.675,530.588,43.857,43.646,44.027,44.746,11.557,14.753,12.319,16.362,0.564903846,0.274834437,0.011196341,-0.124379127,TRUE
42144,Anisoptera,Aeshnidae,Aeshna interrupta,404.49,539.51,44.238,44.344,45.551,45.36,11.24,14.796,11.959,16.235,0.521375465,0.231451237,0.011059699,-0.153239399,TRUE
41937,Anisoptera,Aeshnidae,Aeshna interrupta,438.767,587.829,46.863,45.911,47.456,46.778,11.896,15.812,12.552,17.463,0.574933096,0.280542986,0.02063098,-0.144820494,TRUE
38919,Anisoptera,Aeshnidae,Aeshna interrupta,396.999,537.448,43.286,44.048,44.619,45.085,11.599,14.817,12.488,16.658,0.558823529,0.301408451,0.024498849,-0.132337695,TRUE
36578,Anisoptera,Aeshnidae,Aeshna interrupta,428.478,559.421,45.593,44.302,46.905,46.207,11.769,15.261,12.594,16.616,0.56498195,0.284470912,0.039813227,-0.104817343,TRUE
38927,Anisoptera,Aeshnidae,Aeshna interrupta,405.545,556.999,42.863,44.916,43.328,45.508,11.811,15.007,12.7,16.298,0.575476307,0.222325581,0.001122073,-0.129266244,TRUE
22022,Anisoptera,Aeshnidae,Aeshna interrupta,372.973,470.2,44.45,43.434,44.725,44.831,10.414,13.462,11.388,14.774,0.542356839,0.232294618,-0.003430152,-0.11275937,TRUE
25826,Anisoptera,Aeshnidae,Aeshna interrupta,420.167,534.741,46.927,46.8,47.159,47.181,11.155,14.245,12.192,15.6,0.526032316,0.173171826,-0.004354684,-0.143682299,TRUE
22015,Anisoptera,Aeshnidae,Aeshna interrupta,373.489,475.732,43.519,43.392,44.133,44.323,10.626,13.483,11.409,14.626,0.568345324,0.271728749,0.003085862,-0.106451419,TRUE
28027,Anisoptera,Aeshnidae,Aeshna interrupta,418.022,543.906,46.821,45.403,47.286,46.228,11.261,14.499,12.065,15.685,0.566248881,0.261904762,0.01950809,-0.148050171,TRUE
39680,Anisoptera,Aeshnidae,Aeshna juncea,337.794,435.155,41.593,39.92,41.698,40.619,10.435,13.081,11.24,14.965,0.583756345,0.342365816,0.046247519,-0.10601823,TRUE
38920,Anisoptera,Aeshnidae,Aeshna juncea,280.28,355.639,37.931,36.534,37.994,36.872,9.44,11.748,9.97,13.208,0.61448468,0.396096441,0.025102665,-0.116099477,TRUE
38905,Anisoptera,Aeshnidae,Aeshna juncea,315.047,421.081,40.069,39.074,40.407,39.878,10.202,12.7,10.732,14.012,0.623886852,0.337579618,0.055908755,-0.106737883,TRUE
48092,Anisoptera,Aeshnidae,Aeshna juncea,324.077,429.06,41.825,40.174,42.376,40.979,10.16,12.615,10.732,13.97,0.598901099,0.305785124,0.064521252,-0.117698875,TRUE
38913,Anisoptera,Aeshnidae,Aeshna juncea,317.952,403.774,39.815,38.947,40.746,40.217,10.181,12.467,10.859,13.78,0.59948052,0.252631579,0.044883137,-0.086301184,TRUE
WRK-WS-02508,Anisoptera,Aeshnidae,Aeshna juncea,349.81,459.244,42.82,41.032,43.773,43.18,10.372,13.145,10.933,15.229,0.592359768,0.472058824,0.041897354,-0.069475787,TRUE
WRK-WS-02533,Anisoptera,Aeshnidae,Aeshna juncea,323.882,420.457,41.159,38.597,41.91,41.053,10.001,12.954,10.647,15.092,0.60959596,0.33384893,0.026165471,-0.076614133,TRUE
WRK-WS-02545,Anisoptera,Aeshnidae,Aeshna juncea,311.517,418.193,40.619,38.746,41.148,39.952,9.705,13.06,10.319,14.552,0.585390947,0.335099338,0.041300717,-0.093702436,TRUE
22056,Anisoptera,Aeshnidae,Aeshna juncea,304.849,381.744,40.471,39.243,40.555,40.132,9.631,11.726,10.245,12.467,0.605427975,0.24314346,0.025165508,-0.112537025,TRUE
23286,Anisoptera,Aeshnidae,Aeshna juncea,293.157,357.002,39.836,38.545,40.09,39.688,8.805,11.028,9.589,12.044,0.581837381,0.223466667,-0.006136709,-0.111790725,TRUE
29621,Anisoptera,Aeshnidae,Aeshna juncea,354.425,441.019,43.688,41.868,43.773,42.439,9.927,12.764,10.88,13.801,0.585589942,0.181546135,0.011007745,-0.127123931,TRUE
WRK-WS-02512,Anisoptera,Aeshnidae,Aeshna juncea,296.34,393.888,39.254,38.365,40.1,39.624,9.25,12.171,10.054,14.086,0.577988915,0.259615385,0.031534528,-0.112811692,TRUE
WRK-WS-02527,Anisoptera,Aeshnidae,Aeshna juncea,351.766,467.453,43.847,42.196,44.376,44.238,9.895,13.155,10.806,15.219,0.538278083,0.23492823,0.018054356,-0.095435877,TRUE
WRK-WS-02528,Anisoptera,Aeshnidae,Aeshna juncea,336.964,445.507,42.048,40.756,42.99,42.397,9.864,13.039,10.647,14.478,0.552437223,0.263105342,0.030628168,-0.096437815,TRUE
WRK-WS-02530,Anisoptera,Aeshnidae,Aeshna juncea,347.973,447.604,43.879,42.175,44.662,43.762,9.758,12.404,10.552,14.182,0.594549763,0.218137848,0.029779642,-0.089489117,TRUE
WRK-WS-02535,Anisoptera,Aeshnidae,Aeshna juncea,303.47,394.384,40.375,37.783,41.18,40.312,9.377,12.34,10.213,13.547,0.580056541,0.248621686,0.035341766,-0.080137547,TRUE
WRK-WS-02539,Anisoptera,Aeshnidae,Aeshna juncea,321.972,422.399,40.513,39.031,41.698,41.233,9.927,12.742,10.88,14.923,0.587817259,0.322895277,0.044509408,-0.040242752,TRUE
WRK-WS-02540,Anisoptera,Aeshnidae,Aeshna juncea,327.01,421.522,42.111,40.27,42.767,41.222,9.705,12.51,10.488,14.171,0.577827271,0.272913992,0.029530322,-0.118113286,TRUE
WRK-WS-02541,Anisoptera,Aeshnidae,Aeshna juncea,339.315,439.647,41.995,40.375,42.545,41.656,10.107,12.795,11.113,14.7,0.615174129,0.179115854,0.030868565,-0.110900527,TRUE
WRK-WS-02542,Anisoptera,Aeshnidae,Aeshna juncea,319.063,419.3,41.571,39.719,42.471,41.656,9.578,12.499,10.287,14.383,0.568901072,0.258892276,0.042849441,-0.083841135,TRUE
WRK-WS-02543,Anisoptera,Aeshnidae,Aeshna juncea,348.104,449.285,43.371,41.18,43.974,43.17,9.948,13.007,10.615,14.51,0.614921781,0.295660701,0.026608514,-0.090957743,TRUE
WRK-WS-02544,Anisoptera,Aeshnidae,Aeshna juncea,345.599,436.325,43.402,41.349,44.175,42.386,9.853,12.478,10.552,13.663,0.615237183,0.240449438,0.034863746,-0.116731675,TRUE
WRK-WS-02547,Anisoptera,Aeshnidae,Aeshna juncea,347.062,439.175,42.418,40.883,43.487,42.545,10.202,12.7,10.869,14.256,0.633487467,0.294278607,0.051829127,-0.098565035,TRUE
41510,Anisoptera,Aeshnidae,Aeshna palmata,366.773,480.031,42.312,40.704,42.566,41.698,11.197,14.118,11.748,15.6,0.616608652,0.283248731,0.050464723,-0.115637319,TRUE
36587,Anisoptera,Aeshnidae,Aeshna palmata,365.153,490.7,42.545,42.037,42.905,43.857,10.88,14.605,11.515,16.193,0.61174149,0.277027027,0.026091973,-0.076187812,TRUE
38953,Anisoptera,Aeshnidae,Aeshna palmata,379.415,487.174,43.752,42.016,43.773,42.355,11.091,14.415,11.98,15.875,0.609284333,0.253373313,0.028361726,-0.126801519,TRUE
48797,Anisoptera,Aeshnidae,Aeshna palmata,357.859,476.996,41.783,42.312,42.206,42.778,10.837,14.457,11.515,15.706,0.589267803,0.270163286,0.027250645,-0.114403838,TRUE
38957,Anisoptera,Aeshnidae,Aeshna palmata,392.473,502.049,44.535,43.646,44.746,45.191,11.197,14.33,11.959,15.473,0.598391675,0.296487119,0.007181522,-0.076145058,TRUE
28070,Anisoptera,Aeshnidae,Aeshna palmata,389.081,511.175,44.344,43.18,44.535,43.984,10.964,14.605,11.79,15.79,0.609315589,0.220404235,0.026014222,-0.148085792,TRUE
25868,Anisoptera,Aeshnidae,Aeshna palmata,389.935,502.281,44.535,42.101,44.725,43.561,10.964,14.563,11.917,15.388,0.577851396,0.239067055,0.022389175,-0.159857865,TRUE
25871,Anisoptera,Aeshnidae,Aeshna palmata,360.56,490.212,42.524,41.254,42.99,43.244,10.626,14.224,11.282,15.621,0.615460364,0.266275086,0.029810397,-0.115980107,TRUE
22135,Anisoptera,Aeshnidae,Aeshna palmata,381.111,492.823,43.222,41.698,43.413,43.476,11.176,14.182,11.79,15.452,0.573866407,0.248296008,0.009676279,-0.130045729,TRUE
22133,Anisoptera,Aeshnidae,Aeshna palmata,379.236,491.467,43.984,42.333,44.027,43.371,10.816,14.457,11.642,15.833,0.570192308,0.270863836,0.016626542,-0.122698761,TRUE
28069,Anisoptera,Aeshnidae,Aeshna palmata,393.775,497.607,45.17,43.032,45.233,43.688,11.049,14.584,11.959,16.002,0.585400094,0.274224806,0.027932113,-0.133551571,TRUE
22119,Anisoptera,Aeshnidae,Aeshna palmata,354.296,470.271,43.138,41.995,43.18,43.413,10.287,13.674,11.049,15.134,0.569607843,0.280838615,0.012282215,-0.111666412,TRUE
19936,Anisoptera,Aeshnidae,Aeshna persephone,483.541,652.225,52.049,49.89,52.62,50.779,11.811,15.748,12.467,17.018,0.567578439,0.197165486,0.050390159,-0.146960187,TRUE
25862,Anisoptera,Aeshnidae,Aeshna persephone,472.605,631.417,50.144,49.34,50.419,50.694,11.896,15.833,12.785,17.187,0.539882452,0.315240084,0.018135251,-0.096530538,TRUE
33544,Anisoptera,Aeshnidae,Aeshna persephone,511.396,661.233,51.435,49.699,51.88,51.393,12.446,15.875,13.399,17.399,0.570379437,0.272652389,0.015737917,-0.114472071,TRUE
24453,Anisoptera,Aeshnidae,Aeshna persephone,476.138,624.503,49.699,49.149,49.784,50.102,12.277,15.536,13.102,16.764,0.583333333,0.299535277,0.032313364,-0.112669746,TRUE
33669,Anisoptera,Aeshnidae,Aeshna persephone,448.068,603.628,50.102,47.498,50.229,48.429,11.811,15.642,12.34,16.891,0.599662874,0.350961539,0.048337321,-0.113129423,TRUE
38932,Anisoptera,Aeshnidae,Aeshna sitchensis,277.302,363.7,37.994,36.661,38.185,37.317,8.996,12.277,9.652,12.848,0.591463415,0.357912649,0.016591488,-0.122136695,TRUE
20794,Anisoptera,Aeshnidae,Aeshna sitchensis,265.843,320.821,38.037,35.518,38.418,36.026,8.954,11.176,9.546,11.811,0.579063361,0.228554642,0.045998452,-0.105373429,TRUE
22108,Anisoptera,Aeshnidae,Aeshna sitchensis,299.904,385.164,38.756,37.444,38.926,38.375,9.313,12.361,10.202,13.631,0.557911909,0.194153337,0.019066673,-0.120361627,TRUE
25854,Anisoptera,Aeshnidae,Aeshna sitchensis,298.383,390.003,39.92,38.291,40.174,38.968,9.525,12.446,10.351,13.695,0.593782929,0.219445953,0.036060677,-0.129341058,TRUE
22107,Anisoptera,Aeshnidae,Aeshna sitchensis,305.492,380.292,38.82,37.825,38.862,38.439,9.652,12.34,10.499,12.954,0.616557734,0.265418502,0.018919586,-0.088699613,TRUE
33401,Anisoptera,Aeshnidae,Aeshna sitchensis,310.644,395.809,39.582,37.846,40.153,38.608,9.927,12.848,10.732,13.907,0.568265683,0.235197368,0.030891706,-0.142751518,TRUE
22094,Anisoptera,Aeshnidae,Aeshna subarctica,363.835,447.039,45.403,42.757,45.847,43.688,9.927,12.679,10.668,13.335,0.621883657,0.25629845,0.031796783,-0.094404391,TRUE
48095,Anisoptera,Aeshnidae,Aeshna subarctica,340.524,425.267,43.582,41.233,43.688,41.889,9.652,12.467,10.456,13.568,0.568313954,0.222839818,0.022629073,-0.119259017,TRUE
22098,Anisoptera,Aeshnidae,Aeshna subarctica,305.65,390.755,41.042,38.777,41.36,39.455,9.229,12.15,9.97,13.335,0.604401228,0.227467811,0.029050489,-0.133923695,TRUE
33418,Anisoptera,Aeshnidae,Aeshna subarctica,355.886,439.955,42.863,42.376,43.603,42.63,10.118,12.51,10.859,13.716,0.565533981,0.19265144,0.01413456,-0.113738344,TRUE
42287,Anisoptera,Aeshnidae,Aeshna tuberculifera,401.184,532.252,46.863,45.149,46.927,46.715,11.155,14.245,11.959,15.431,0.50473613,0.312188491,0.043342861,-0.097733212,TRUE
42624,Anisoptera,Aeshnidae,Aeshna tuberculifera,463.108,587.41,49.742,48.514,50.017,50.186,11.938,14.817,12.425,16.171,0.594583157,0.322226909,0.019935009,-0.068756168,TRUE
23203,Anisoptera,Aeshnidae,Aeshna tuberculifera,450.56,595.87,50.017,48.662,50.419,50.334,11.282,14.499,12.023,15.812,0.550797649,0.203111859,0.020953567,-0.115160878,TRUE
29466,Anisoptera,Aeshnidae,Aeshna tuberculifera,481.467,610.463,51.71,48.662,52.112,50.271,11.663,15.261,12.383,16.277,0.529244517,0.277052632,0.023070847,-0.127160507,TRUE
39644,Anisoptera,Aeshnidae,Aeshna umbrosa,319.864,421.707,42.397,41.19,42.99,42.355,9.589,12.383,10.054,13.589,0.63121615,0.284357821,0.058161105,-0.070834328,TRUE
38951,Anisoptera,Aeshnidae,Aeshna umbrosa,427.371,554.956,47.392,45.572,48.281,46.313,11.43,14.563,12.34,15.96,0.594476107,0.29250457,0.054977724,-0.119212768,TRUE
37473,Anisoptera,Aeshnidae,Aeshna umbrosa,382.361,500.176,45.276,43.307,45.805,44.746,10.795,13.653,11.282,15.007,0.618761553,0.293755913,0.052501956,-0.081222994,TRUE
38936,Anisoptera,Aeshnidae,Aeshna umbrosa,355.562,473.946,44.471,42.482,44.535,43.667,10.139,13.504,10.71,14.859,0.56891635,0.270479884,0.050274535,-0.084330851,TRUE
MLM-000091,Anisoptera,Aeshnidae,Aeshna umbrosa,341.742,448.367,43.498,40.873,44.111,43.921,10.202,12.806,10.626,14.203,0.628598848,0.45060241,0.055877528,-0.033577018,TRUE
MLM-000090,Anisoptera,Aeshnidae,Aeshna umbrosa,402.057,532.893,45.043,43.646,45.53,45.149,11.494,14.584,12.129,17.166,0.616457462,0.313642757,0.046550858,-0.097565006,TRUE
MLM-000016,Anisoptera,Aeshnidae,Aeshna umbrosa,418.85,541.976,46.63,44.683,47.032,47.054,11.409,14.33,11.98,16.489,0.598559856,0.353126406,0.05632583,-0.079196293,TRUE
22073,Anisoptera,Aeshnidae,Aeshna umbrosa,364.246,484.128,44.768,42.714,45.339,44.027,10.329,13.547,10.88,15.007,0.605975724,0.326442308,0.047009636,-0.106111913,TRUE
28048,Anisoptera,Aeshnidae,Aeshna umbrosa,377.505,484.061,44.408,42.524,44.873,43.688,10.732,13.885,11.515,15.113,0.523584906,0.315406977,0.029899364,-0.129535727,TRUE
25859,Anisoptera,Aeshnidae,Aeshna umbrosa,385.772,492.18,45.678,43.561,46.292,45.106,10.795,13.145,11.282,14.309,0.583904893,0.274049742,0.041892729,-0.096824177,TRUE
28050,Anisoptera,Aeshnidae,Aeshna umbrosa,400.139,510.704,46.821,44.365,46.884,45.445,10.795,13.631,11.324,14.859,0.587810384,0.302282254,0.028772463,-0.11760975,TRUE
22095,Anisoptera,Aeshnidae,Aeshna umbrosa,378.196,495.966,44.746,43.879,45.127,44.535,10.583,13.356,11.176,14.711,0.604596623,0.300380228,0.040790615,-0.103422425,TRUE
MLM-000088,Anisoptera,Aeshnidae,Aeshna umbrosa,337.254,432.14,41.804,39.92,42.376,41.571,10.329,12.637,10.689,14.415,0.571428571,0.321283096,0.05102404,-0.09893211,TRUE
MLM-000086,Anisoptera,Aeshnidae,Aeshna umbrosa,356.287,451.444,43.752,42.185,44.704,42.736,10.478,12.594,11.028,14.351,0.616477273,0.306092125,0.056788955,-0.110869985,TRUE
MLM-000087,Anisoptera,Aeshnidae,Aeshna umbrosa,350.457,447.787,42.757,41.36,43.54,43.138,10.329,12.764,10.774,13.97,0.602333495,0.314033366,0.042690963,-0.081712719,TRUE
MLM-000085,Anisoptera,Aeshnidae,Aeshna umbrosa,349.426,441.199,43.201,40.64,43.773,41.593,10.16,12.827,10.689,13.907,0.636363636,0.233587786,0.046269099,-0.117695377,TRUE
41508,Anisoptera,Aeshnidae,Aeshna verticalis,409.133,546.177,45.593,43.222,46.038,45.297,11.726,14.817,12.298,16.193,0.60137931,0.345794393,0.06796431,-0.077363063,TRUE
42868,Anisoptera,Aeshnidae,Aeshna verticalis,398.61,501.744,44.746,42.799,45.381,43.011,11.367,14.161,11.98,15.346,0.603544776,0.256397638,0.037823222,-0.129052436,TRUE
40843,Anisoptera,Aeshnidae,Aeshna verticalis,425.493,550.574,47.54,45.254,47.604,46.292,11.388,14.436,12.002,15.896,0.614939973,0.247828075,0.032363413,-0.117366132,TRUE
42768,Anisoptera,Aeshnidae,Aeshna verticalis,417.664,549.3,46.482,44.746,47.011,45.381,11.324,14.647,12.129,16.425,0.595677623,0.244869403,0.035195098,-0.137267008,TRUE
41511,Anisoptera,Aeshnidae,Aeshna verticalis,374.271,490.075,43.9,42.46,44.45,43.646,10.859,13.758,11.451,15.558,0.593333333,0.295829292,0.046094077,-0.105058686,TRUE
28062,Anisoptera,Aeshnidae,Aeshna verticalis,404.523,526.909,47.286,45.254,47.519,46.546,10.71,14.182,11.515,15.409,0.568374165,0.243292406,0.025525565,-0.120148803,TRUE
28071,Anisoptera,Aeshnidae,Aeshna verticalis,333.511,435.438,41.571,40.471,41.593,41.212,10.478,13.102,11.07,14.224,0.571501272,0.313816127,0.022657613,-0.129003881,TRUE
25861,Anisoptera,Aeshnidae,Aeshna verticalis,416.796,556.454,47.371,46.207,47.879,47.625,10.901,14.52,11.642,16.044,0.588859416,0.255555556,0.027629753,-0.123284582,TRUE
30145,Anisoptera,Aeshnidae,Aeshna verticalis,375.42,511.685,44.683,44.09,44.683,44.831,10.541,14.055,11.155,15.536,0.576977736,0.293201133,0.028665989,-0.144377217,TRUE
29467,Anisoptera,Aeshnidae,Aeshna verticalis,400.019,521.508,45.889,44.535,46.186,45.72,10.774,14.055,11.451,15.261,0.591200733,0.275925926,0.029166187,-0.120721796,TRUE
MLM-000095,Anisoptera,Aeshnidae,Aeshna verticalis,361.675,472.328,44.429,41.952,44.746,43.222,10.097,13.377,10.52,14.161,0.618732261,0.219392752,0.028940538,-0.108344513,TRUE
MLM-000092,Anisoptera,Aeshnidae,Aeshna verticalis,413.297,548.299,47.032,46.165,47.35,47.562,10.901,14.584,11.599,16.32,0.48770675,0.309746328,0.020292617,-0.09693405,TRUE
MLM-000094,Anisoptera,Aeshnidae,Aeshna verticalis,391.625,546.829,47.011,45.064,47.265,46.524,10.668,14.647,10.88,15.917,0.622033139,0.206096451,0.039672308,-0.115189546,TRUE
29986,Anisoptera,Aeshnidae,Aeshna walkeri,367.486,480.316,45.805,43.307,46.038,44.471,10.266,13.716,11.049,14.901,0.60091954,0.282722513,0.031573717,-0.120035629,TRUE
22134,Anisoptera,Aeshnidae,Aeshna walkeri,402.896,512.511,47.54,44.873,48.006,45.614,10.456,14.012,11.451,15.452,0.543209877,0.26450116,0.018051199,-0.135158277,TRUE
MLM-000101,Anisoptera,Aeshnidae,Anax amazili,456.513,580.923,50.461,48.429,50.8,49.043,10.922,14.372,11.684,15.367,0.60625,0.229607251,-0.001839163,-0.129727216,TRUE
MLM-000103,Anisoptera,Aeshnidae,Anax concolor,407.629,480.131,47.604,45.974,48.197,47.202,10.181,12.277,11.028,14.309,0.422485727,0.169955157,0.00168397,-0.090461086,TRUE
MLM-000102,Anisoptera,Aeshnidae,Anax concolor,410.092,481.514,49.509,46.651,50.229,48.916,10.033,12.277,10.774,14.266,0.543194269,0.273907399,0.017648123,-0.052243798,TRUE
RUN-012422,Anisoptera,Aeshnidae,Anax junius,487.925,625.285,49.594,47.498,50.356,49.213,12.15,16.066,12.954,16.679,0.578394283,0.330752688,-0.001399151,-0.125297953,TRUE
RUN-012417,Anisoptera,Aeshnidae,Anax junius,478.696,621.275,47.667,47.477,48.874,49.657,12.298,15.409,13.102,17.695,0.565179732,0.242114237,0.015817787,-0.083888787,TRUE
RUN-012533,Anisoptera,Aeshnidae,Anax junius,510.919,656.281,50.61,49.001,52.07,51.393,12.383,16.044,13.123,18.267,0.564227642,0.231054366,0.026787836,-0.092696374,TRUE
